second,Volt1,Volt2,Volt3,Volt4
-5.9652000E+00,+3.2050209E+00,+27.2747E-03,+6.1982E-03,+25.1047E-03
-5.9648000E+00,+3.2023320E+00,+25.1047E-03,+8.3683E-03,+8.3683E-03
-5.9644000E+00,+3.1958323E+00,+25.1047E-03,+820.5E-06,+15.9160E-03
-5.9640000E+00,+3.2050209E+00,+37.5113E-03,-8.3681E-03,+12.6980E-03
-5.9636000E+00,+3.2050209E+00,+41.3118E-03,+7.8390E-03,+8.8975E-03
-5.9632000E+00,+3.1996328E+00,+30.4928E-03,-2.9800E-03,+19.7165E-03
-5.9628000E+00,+3.1882845E+00,+41.8411E-03,-1.8788E-03,+8.3683E-03
-5.9624000E+00,+3.2033904E+00,+11.6292E-03,+6.7378E-03,+8.3683E-03
-5.9620000E+00,+3.2050209E+00,+21.8762E-03,+5.1398E-03,+8.3683E-03
-5.9616000E+00,+3.1969335E+00,+24.5430E-03,-280.8E-06,+8.3683E-03
-5.9612000E+00,+3.1882845E+00,+28.8948E-03,+21.3145E-03,+8.3683E-03
-5.9608000E+00,+3.2050209E+00,+41.8411E-03,-9.4369E-03,+8.3683E-03
-5.9604000E+00,+3.2050209E+00,+29.9857E-03,-13.2492E-03,+14.2960E-03
-5.9600000E+00,+3.2158075E+00,+19.1549E-03,-2.4184E-03,+14.3180E-03
-5.9596000E+00,+3.2061118E+00,+25.1047E-03,+7.2774E-03,+8.3683E-03
-5.9592000E+00,+3.2050209E+00,+25.1047E-03,-4.6001E-03,+8.3683E-03
-5.9588000E+00,+3.1963939E+00,+25.1047E-03,+8.3683E-03,+8.3683E-03
-5.9584000E+00,+3.2017703E+00,+38.5905E-03,+8.3683E-03,+8.3683E-03
-5.9580000E+00,+3.2034125E+00,+23.4963E-03,+8.3683E-03,-6.7598E-03
-5.9576000E+00,+3.1882845E+00,+14.8355E-03,+8.3683E-03,+14.8355E-03
-5.9572000E+00,+3.1996107E+00,+25.1047E-03,-2.9579E-03,+25.1047E-03
-5.9568000E+00,+3.2050209E+00,+25.1047E-03,+7.8170E-03,+25.1047E-03
-5.9564000E+00,+3.2093285E+00,+25.1047E-03,+4.0606E-03,+25.1047E-03
-5.9560000E+00,+3.2125908E+00,+34.2712E-03,+9.9649E-03,+15.9381E-03
-5.9556000E+00,+3.2050209E+00,+27.8156E-03,-2.9462E-03,+8.3683E-03
-5.9552000E+00,+3.1882845E+00,+27.2526E-03,+6.2203E-03,+8.3683E-03
-5.9548000E+00,+3.1952914E+00,+41.8411E-03,-8.3681E-03,+8.3683E-03
-5.9544000E+00,+3.2050209E+00,+29.9753E-03,+3.4976E-03,+8.3683E-03
-5.9540000E+00,+3.2050209E+00,+41.8293E-03,-8.3564E-03,+8.3683E-03
-5.9536000E+00,+3.1931317E+00,+36.9939E-03,+15.4103E-03,+8.3683E-03
-5.9532000E+00,+3.2050209E+00,+34.8108E-03,+1.3380E-03,+18.0744E-03
-5.9528000E+00,+3.2050209E+00,+27.2760E-03,+8.3683E-03,+10.5396E-03
-5.9524000E+00,+3.1882845E+00,+44.5286E-03,-8.3681E-03,+22.4171E-03
-5.9520000E+00,+3.1882845E+00,+51.0310E-03,-821.7E-06,+15.9147E-03
-5.9516000E+00,+3.1882845E+00,+41.8411E-03,+8.3683E-03,+12.6993E-03
-5.9512000E+00,+3.1882845E+00,+25.1047E-03,-8.3681E-03,+8.8961E-03
-5.9508000E+00,+3.1882845E+00,+30.4914E-03,-8.3681E-03,+19.7179E-03
-5.9504000E+00,+3.1882845E+00,+41.8411E-03,-8.3681E-03,+18.6139E-03
-5.9500000E+00,+3.1882845E+00,+41.8411E-03,+6.7365E-03,+10.0001E-03
-5.9496000E+00,+3.2050209E+00,+25.1047E-03,-8.3681E-03,+25.1047E-03
-5.9492000E+00,+3.2050209E+00,+33.1907E-03,-282.1E-06,+17.0186E-03
-5.9488000E+00,+3.2179658E+00,+28.8961E-03,+8.3683E-03,+8.3683E-03
-5.9484000E+00,+3.1893519E+00,+25.1047E-03,-6.2333E-03,+25.1047E-03
-5.9480000E+00,+3.2109472E+00,+25.1047E-03,+13.2519E-03,+25.1047E-03
-5.9476000E+00,+3.2109720E+00,+14.3194E-03,+2.4171E-03,+14.3194E-03
-5.9472000E+00,+3.2050209E+00,+24.0124E-03,+8.3683E-03,+24.0124E-03
-5.9468000E+00,+3.2142239E+00,+38.0744E-03,+8.3683E-03,+8.3683E-03
-5.9464000E+00,+3.1969101E+00,+33.7303E-03,+8.3683E-03,+16.9939E-03
-5.9460000E+00,+3.2050209E+00,+41.8411E-03,-18.6008E-03,+25.1047E-03
-5.9456000E+00,+3.1898915E+00,+41.8411E-03,+8.3683E-03,+23.4976E-03
-5.9452000E+00,+3.2114868E+00,+35.3751E-03,+1.9023E-03,+8.3683E-03
-5.9448000E+00,+3.2104324E+00,+47.7544E-03,+14.2816E-03,+19.6931E-03
-5.9444000E+00,+3.2050209E+00,+42.3937E-03,-7.2629E-03,+41.2884E-03
-5.9440000E+00,+3.2050209E+00,+37.5348E-03,-8.3681E-03,+8.3683E-03
-5.9436000E+00,+3.2050209E+00,+34.2698E-03,+797.0E-06,+17.5334E-03
-5.9432000E+00,+3.2050209E+00,+27.8170E-03,+8.3683E-03,+25.1047E-03
-5.9428000E+00,+3.1882845E+00,+41.8411E-03,-6.2215E-03,+37.5478E-03
